z_bin,z_center,env_name,n_total,n_red,n_blue,rf,bf,rf_err,bf_err,selection
0.25-0.35,0.3,Filament,1392,715,677,0.5136494252873564,0.4863505747126437,0.013396412208117603,0.013396412208117603,full
0.25-0.35,0.3,Knot,199,107,92,0.5376884422110553,0.4623115577889447,0.035343226009268466,0.035343226009268466,full
0.25-0.35,0.3,Sheet,1545,744,801,0.4815533980582524,0.5184466019417475,0.012711886313287398,0.012711886313287398,full
0.25-0.35,0.3,Void,318,156,162,0.49056603773584906,0.5094339622641509,0.028033616408131054,0.028033616408131054,full
0.35-0.45,0.4,Filament,5390,2528,2862,0.46901669758812614,0.5309833024118739,0.006797358907759735,0.006797358907759735,full
0.35-0.45,0.4,Knot,741,366,375,0.4939271255060729,0.5060728744939271,0.01836660409582185,0.01836660409582185,full
0.35-0.45,0.4,Sheet,5555,2678,2877,0.4820882088208821,0.5179117911791179,0.006704233354165316,0.006704233354165316,full
0.35-0.45,0.4,Void,1011,468,543,0.4629080118694362,0.5370919881305638,0.015681807121501225,0.015681807121501225,full
0.45-0.55,0.5,Filament,6840,3023,3817,0.4419590643274854,0.5580409356725147,0.006004764796488617,0.006004764796488617,full
0.45-0.55,0.5,Knot,936,398,538,0.4252136752136752,0.5747863247863247,0.016159164450959596,0.016159164450959596,full
0.45-0.55,0.5,Sheet,7506,3392,4114,0.4519051425526246,0.5480948574473754,0.0057444337530315245,0.0057444337530315245,full
0.45-0.55,0.5,Void,1360,623,737,0.45808823529411763,0.5419117647058823,0.013510437250163917,0.013510437250163917,full
