z_bin,z_center,env_name,n_total,n_red,n_blue,rf,bf,rf_err,bf_err,selection
0.25-0.35,0.3,Filament,1356,709,647,0.5228613569321534,0.4771386430678466,0.013563935740495333,0.013563935740495333,10.5<logM<12.0
0.25-0.35,0.3,Knot,193,107,86,0.5544041450777202,0.44559585492227977,0.03577710132565418,0.03577710132565418,10.5<logM<12.0
0.25-0.35,0.3,Sheet,1520,743,777,0.4888157894736842,0.5111842105263158,0.012821520596937766,0.012821520596937766,10.5<logM<12.0
0.25-0.35,0.3,Void,313,156,157,0.4984025559105431,0.5015974440894568,0.02826152670901804,0.02826152670901804,10.5<logM<12.0
0.35-0.45,0.4,Filament,5324,2511,2813,0.47163786626596543,0.5283621337340345,0.006841497179220212,0.006841497179220212,10.5<logM<12.0
0.35-0.45,0.4,Knot,732,365,367,0.49863387978142076,0.5013661202185792,0.01848046279387737,0.01848046279387737,10.5<logM<12.0
0.35-0.45,0.4,Sheet,5499,2664,2835,0.4844517184942717,0.5155482815057283,0.006739350788685693,0.006739350788685693,10.5<logM<12.0
0.35-0.45,0.4,Void,999,466,533,0.46646646646646645,0.5335335335335335,0.015783682293923396,0.015783682293923396,10.5<logM<12.0
0.45-0.55,0.5,Filament,6697,3009,3688,0.4493056592504106,0.5506943407495893,0.006078355568998022,0.006078355568998022,10.5<logM<12.0
0.45-0.55,0.5,Knot,905,396,509,0.4375690607734807,0.5624309392265193,0.01649049208152787,0.01649049208152787,10.5<logM<12.0
0.45-0.55,0.5,Sheet,7336,3373,3963,0.45978735005452565,0.5402126499454744,0.005818770424782189,0.005818770424782189,10.5<logM<12.0
0.45-0.55,0.5,Void,1336,619,717,0.4633233532934132,0.5366766467065869,0.013642539350498879,0.013642539350498879,10.5<logM<12.0
