z_bin,z_center,env_name,n_total,n_red,n_blue,rf,bf,rf_err,bf_err,selection
0.25-0.35,0.3,Filament,1359,710,649,0.5224429727740986,0.4775570272259014,0.013549470934311443,0.013549470934311443,10.5<logM<12.5
0.25-0.35,0.3,Knot,194,107,87,0.5515463917525774,0.4484536082474227,0.035706634681740984,0.035706634681740984,10.5<logM<12.5
0.25-0.35,0.3,Sheet,1520,743,777,0.4888157894736842,0.5111842105263158,0.012821520596937766,0.012821520596937766,10.5<logM<12.5
0.25-0.35,0.3,Void,313,156,157,0.4984025559105431,0.5015974440894568,0.02826152670901804,0.02826152670901804,10.5<logM<12.5
0.35-0.45,0.4,Filament,5332,2512,2820,0.4711177794448612,0.5288822205551388,0.006835954455582118,0.006835954455582118,10.5<logM<12.5
0.35-0.45,0.4,Knot,732,365,367,0.49863387978142076,0.5013661202185792,0.01848046279387737,0.01848046279387737,10.5<logM<12.5
0.35-0.45,0.4,Sheet,5502,2666,2836,0.48455107233733186,0.5154489276626681,0.006737554740493581,0.006737554740493581,10.5<logM<12.5
0.35-0.45,0.4,Void,999,466,533,0.46646646646646645,0.5335335335335335,0.015783682293923396,0.015783682293923396,10.5<logM<12.5
0.45-0.55,0.5,Filament,6702,3011,3691,0.4492688749626977,0.5507311250373023,0.006076041970470969,0.006076041970470969,10.5<logM<12.5
0.45-0.55,0.5,Knot,906,397,509,0.4381898454746137,0.5618101545253863,0.016483971236433373,0.016483971236433373,10.5<logM<12.5
0.45-0.55,0.5,Sheet,7343,3376,3967,0.45975759226474194,0.5402424077352581,0.005815968248731522,0.005815968248731522,10.5<logM<12.5
0.45-0.55,0.5,Void,1337,620,717,0.4637247569184742,0.5362752430815259,0.013638239465609138,0.013638239465609138,10.5<logM<12.5
