z_bin,z_center,env_name,n_total,n_red,n_blue,rf,bf,rf_err,bf_err,selection
0.25-0.35,0.3,Filament,1052,598,454,0.5684410646387833,0.43155893536121676,0.01527055806458024,0.01527055806458024,logM>11.0
0.25-0.35,0.3,Knot,153,99,54,0.6470588235294118,0.35294117647058826,0.0386346810252462,0.0386346810252462,logM>11.0
0.25-0.35,0.3,Sheet,1187,646,541,0.544229149115417,0.45577085088458297,0.014455689562066882,0.014455689562066882,logM>11.0
0.25-0.35,0.3,Void,243,142,101,0.5843621399176955,0.4156378600823045,0.03161516470452539,0.03161516470452539,logM>11.0
0.35-0.45,0.4,Filament,5010,2398,2612,0.4786427145708583,0.5213572854291417,0.007057560128110553,0.007057560128110553,logM>11.0
0.35-0.45,0.4,Knot,695,345,350,0.49640287769784175,0.5035971223021583,0.01896559022371883,0.01896559022371883,logM>11.0
0.35-0.45,0.4,Sheet,5142,2535,2607,0.49299883313885645,0.5070011668611435,0.006972064383684478,0.006972064383684478,logM>11.0
0.35-0.45,0.4,Void,938,436,502,0.464818763326226,0.535181236673774,0.016285115595655545,0.016285115595655545,logM>11.0
0.45-0.55,0.5,Filament,6200,2879,3321,0.4643548387096774,0.5356451612903226,0.006333849444575256,0.006333849444575256,logM>11.0
0.45-0.55,0.5,Knot,838,381,457,0.45465393794749404,0.545346062052506,0.017201034223233286,0.017201034223233286,logM>11.0
0.45-0.55,0.5,Sheet,6841,3220,3621,0.47069141938313114,0.5293085806168689,0.0060347990405206185,0.0060347990405206185,logM>11.0
0.45-0.55,0.5,Void,1241,593,648,0.47784045124899277,0.5221595487510072,0.014179377905088204,0.014179377905088204,logM>11.0
