z_bin,z_center,env_name,n_red,n_blue,rrf,rbf,selection
0.25-0.35,0.3,Filament,715,677,0.4152148664343786,0.39087759815242495,full
0.25-0.35,0.3,Knot,107,92,0.062137049941927994,0.053117782909930716,full
0.25-0.35,0.3,Sheet,744,801,0.43205574912891986,0.46247113163972287,full
0.25-0.35,0.3,Void,156,162,0.09059233449477352,0.09353348729792148,full
0.35-0.45,0.4,Filament,2528,2862,0.4185430463576159,0.4299233889139252,full
0.35-0.45,0.4,Knot,366,375,0.06059602649006623,0.05633168093735917,full
0.35-0.45,0.4,Sheet,2678,2877,0.4433774834437086,0.43217665615141954,full
0.35-0.45,0.4,Void,468,543,0.07748344370860927,0.08156827399729608,full
0.45-0.55,0.5,Filament,3023,3817,0.4065357719203873,0.414620899413426,full
0.45-0.55,0.5,Knot,398,538,0.05352339967724583,0.05844014772974147,full
0.45-0.55,0.5,Sheet,3392,4114,0.4561592253899946,0.4468824679556811,full
0.45-0.55,0.5,Void,623,737,0.08378160301237224,0.08005648490115143,full
