z_bin,z_center,env_name,n_red,n_blue,rrf,rbf,selection
0.25-0.35,0.3,Filament,710,649,0.41375291375291373,0.38862275449101796,10.5<logM<12.5
0.25-0.35,0.3,Knot,107,87,0.06235431235431235,0.052095808383233536,10.5<logM<12.5
0.25-0.35,0.3,Sheet,743,777,0.432983682983683,0.46526946107784434,10.5<logM<12.5
0.25-0.35,0.3,Void,156,157,0.09090909090909091,0.09401197604790419,10.5<logM<12.5
0.35-0.45,0.4,Filament,2512,2820,0.418039607255783,0.4301403294691885,10.5<logM<12.5
0.35-0.45,0.4,Knot,365,367,0.060742220003328344,0.05597925564368517,10.5<logM<12.5
0.35-0.45,0.4,Sheet,2666,2836,0.4436678315859544,0.4325808419768151,10.5<logM<12.5
0.35-0.45,0.4,Void,466,533,0.07755034115493427,0.08129957291031116,10.5<logM<12.5
0.45-0.55,0.5,Filament,3011,3691,0.4066720691518098,0.4154660063034669,10.5<logM<12.5
0.45-0.55,0.5,Knot,397,509,0.053619665045921125,0.05729401170643854,10.5<logM<12.5
0.45-0.55,0.5,Sheet,3376,3967,0.4559697460831983,0.44653309320126067,10.5<logM<12.5
0.45-0.55,0.5,Void,620,717,0.08373851971907077,0.08070688878883386,10.5<logM<12.5
