z_bin,z_center,env_name,n_red,n_blue,rrf,rbf,selection
0.25-0.35,0.3,Filament,598,454,0.4026936026936027,0.3947826086956522,logM>11.0
0.25-0.35,0.3,Knot,99,54,0.06666666666666667,0.04695652173913043,logM>11.0
0.25-0.35,0.3,Sheet,646,541,0.435016835016835,0.47043478260869565,logM>11.0
0.25-0.35,0.3,Void,142,101,0.09562289562289562,0.08782608695652173,logM>11.0
0.35-0.45,0.4,Filament,2398,2612,0.4196709835491775,0.43024213473892275,logM>11.0
0.35-0.45,0.4,Knot,345,350,0.060378018900945046,0.057651128314939876,logM>11.0
0.35-0.45,0.4,Sheet,2535,2607,0.44364718235911793,0.42941854719156647,logM>11.0
0.35-0.45,0.4,Void,436,502,0.07630381519075954,0.08268818975457091,logM>11.0
0.45-0.55,0.5,Filament,2879,3321,0.407040859606956,0.4127003852367342,logM>11.0
0.45-0.55,0.5,Knot,381,457,0.053866817474904564,0.05679135081396794,logM>11.0
0.45-0.55,0.5,Sheet,3220,3621,0.45525236816061077,0.44998135951286194,logM>11.0
0.45-0.55,0.5,Void,593,648,0.08383995475752863,0.08052690443643594,logM>11.0
