z_bin,z_center,env_name,n_total,n_red,n_blue,rf,bf,rf_err,bf_err,selection
0.15-0.25,0.2,Filament,9303,5736.0,3567.0,0.6165752982908739,0.38342470170912607,0.005041056842878344,0.005041056842878344,full
0.15-0.25,0.2,Knot,1145,646.0,499.0,0.5641921397379913,0.43580786026200874,0.014654071350923427,0.014654071350923427,full
0.15-0.25,0.2,Sheet,10413,6378.0,4035.0,0.6125036012676462,0.3874963987323538,0.004774195778152516,0.004774195778152516,full
0.15-0.25,0.2,Void,1646,1094.0,552.0,0.6646415552855407,0.3353584447144593,0.011636796873634296,0.011636796873634296,full
0.15-0.25,0.3,Filament,0,,,,,,,full
0.15-0.25,0.3,Knot,0,,,,,,,full
0.15-0.25,0.3,Sheet,0,,,,,,,full
0.15-0.25,0.3,Void,0,,,,,,,full
0.15-0.25,0.4,Filament,0,,,,,,,full
0.15-0.25,0.4,Knot,0,,,,,,,full
0.15-0.25,0.4,Sheet,0,,,,,,,full
0.15-0.25,0.4,Void,0,,,,,,,full
0.15-0.25,0.5,Filament,0,,,,,,,full
0.15-0.25,0.5,Knot,0,,,,,,,full
0.15-0.25,0.5,Sheet,0,,,,,,,full
0.15-0.25,0.5,Void,0,,,,,,,full
0.25-0.35,0.2,Filament,0,,,,,,,full
0.25-0.35,0.2,Knot,0,,,,,,,full
0.25-0.35,0.2,Sheet,0,,,,,,,full
0.25-0.35,0.2,Void,0,,,,,,,full
0.25-0.35,0.3,Filament,52133,33088.0,19045.0,0.634684364989546,0.36531563501045405,0.0021089033236766823,0.0021089033236766823,full
0.25-0.35,0.3,Knot,7171,4783.0,2388.0,0.6669920513178078,0.3330079486821922,0.005565417738641716,0.005565417738641716,full
0.25-0.35,0.3,Sheet,59308,38194.0,21114.0,0.6439940648816349,0.35600593511836515,0.0019661330887907327,0.0019661330887907327,full
0.25-0.35,0.3,Void,10014,6312.0,3702.0,0.6303175554224086,0.36968244457759136,0.0048238114241287424,0.0048238114241287424,full
0.25-0.35,0.4,Filament,0,,,,,,,full
0.25-0.35,0.4,Knot,0,,,,,,,full
0.25-0.35,0.4,Sheet,0,,,,,,,full
0.25-0.35,0.4,Void,0,,,,,,,full
0.25-0.35,0.5,Filament,0,,,,,,,full
0.25-0.35,0.5,Knot,0,,,,,,,full
0.25-0.35,0.5,Sheet,0,,,,,,,full
0.25-0.35,0.5,Void,0,,,,,,,full
0.35-0.45,0.2,Filament,0,,,,,,,full
0.35-0.45,0.2,Knot,0,,,,,,,full
0.35-0.45,0.2,Sheet,0,,,,,,,full
0.35-0.45,0.2,Void,0,,,,,,,full
0.35-0.45,0.3,Filament,0,,,,,,,full
0.35-0.45,0.3,Knot,0,,,,,,,full
0.35-0.45,0.3,Sheet,0,,,,,,,full
0.35-0.45,0.3,Void,0,,,,,,,full
0.35-0.45,0.4,Filament,158234,120685.0,37549.0,0.7626995462416422,0.23730045375835787,0.0010694885145484667,0.0010694885145484667,full
0.35-0.45,0.4,Knot,20516,15213.0,5303.0,0.7415188145837395,0.2584811854162605,0.003056533855607207,0.003056533855607207,full
0.35-0.45,0.4,Sheet,176566,135596.0,40970.0,0.7679621218128065,0.23203787818719346,0.001004606082851336,0.001004606082851336,full
0.35-0.45,0.4,Void,29148,22452.0,6696.0,0.7702758336764101,0.22972416632358997,0.002463894442631671,0.002463894442631671,full
0.35-0.45,0.5,Filament,0,,,,,,,full
0.35-0.45,0.5,Knot,0,,,,,,,full
0.35-0.45,0.5,Sheet,0,,,,,,,full
0.35-0.45,0.5,Void,0,,,,,,,full
0.45-0.55,0.2,Filament,0,,,,,,,full
0.45-0.55,0.2,Knot,0,,,,,,,full
0.45-0.55,0.2,Sheet,0,,,,,,,full
0.45-0.55,0.2,Void,0,,,,,,,full
0.45-0.55,0.3,Filament,0,,,,,,,full
0.45-0.55,0.3,Knot,0,,,,,,,full
0.45-0.55,0.3,Sheet,0,,,,,,,full
0.45-0.55,0.3,Void,0,,,,,,,full
0.45-0.55,0.4,Filament,0,,,,,,,full
0.45-0.55,0.4,Knot,0,,,,,,,full
0.45-0.55,0.4,Sheet,0,,,,,,,full
0.45-0.55,0.4,Void,0,,,,,,,full
0.45-0.55,0.5,Filament,86315,60084.0,26231.0,0.6961014887331286,0.30389851126687134,0.0015655157100130047,0.0015655157100130047,full
0.45-0.55,0.5,Knot,12046,8608.0,3438.0,0.7145940561182135,0.2854059438817865,0.004114715163878902,0.004114715163878902,full
0.45-0.55,0.5,Sheet,101846,72050.0,29796.0,0.7074406456807336,0.29255935431926633,0.0014255419770455157,0.0014255419770455157,full
0.45-0.55,0.5,Void,17356,11941.0,5415.0,0.6880041484212952,0.3119958515787048,0.0035167793243077237,0.0035167793243077237,full
