Redshift bin,Environment,N,Mean (g-r),Std (g-r)
0.15≤z<0.25,Void,36,1.1823098188162677,0.47986780488213604
0.15≤z<0.25,Sheet,359,1.1812269658986532,0.3747165258978055
0.15≤z<0.25,Filament,303,1.2711355608977106,0.4308403251977626
0.15≤z<0.25,Knot,49,1.2293061414467437,0.36829635977064173
0.25≤z<0.35,Void,318,1.368733806617605,0.194423873182612
0.25≤z<0.35,Sheet,1545,1.3640972756947207,0.2157392352599019
0.25≤z<0.35,Filament,1392,1.379565090847927,0.23952506390064196
0.25≤z<0.35,Knot,199,1.3956062301019927,0.28200387238300395
0.35≤z<0.45,Void,1011,1.5026923096903417,0.2766319693541274
0.35≤z<0.45,Sheet,5555,1.5101076613379587,0.22159244946287648
0.35≤z<0.45,Filament,5390,1.5025616690652555,0.2053237029852055
0.35≤z<0.45,Knot,741,1.4990577773805633,0.23992906586359022
0.45≤z<0.55,Void,1360,1.5624370873171274,0.27998482251332185
0.45≤z<0.55,Sheet,7506,1.5461646535244873,0.28747681943119746
0.45≤z<0.55,Filament,6840,1.54854502114205,0.2988980772367829
0.45≤z<0.55,Knot,936,1.5326594796449802,0.32387472370086967
